"id";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"F8";"F9";"F10";"FDR1";"FDR2";"FDR3";"FDR4";"FDR5";"FDR6";"FDR7";"FDR8";"FDR9";"FDR10"
"1";1;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"2";2;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"3";3;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"4";4;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"5";5;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"6";6;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"7";7;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"8";8;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"9";9;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"10";10;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"11";11;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"12";12;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"13";13;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"14";14;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"15";15;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"16";16;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"17";17;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"18";18;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"19";19;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"20";20;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"21";21;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"22";22;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"23";23;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"24";24;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"25";25;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"26";26;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"27";27;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"28";28;"LIV(A)";"BOU(H)";"CHE(A)";"WBA(H)";"BHA(H)";"WAT(A)";"EVE(A)";"SWA(H)";"MCI(A)";"TOT(H)";"4";"2";"5";"2";"2";"2";"4";"2";"4";"4"
"29";29;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"30";30;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"31";31;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"32";32;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"33";33;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"34";34;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"35";35;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"36";36;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"37";37;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"38";38;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"39";39;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"40";40;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"41";41;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"42";42;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"43";43;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
"44";44;"MCI(H)";"ARS(A)";"BHA(H)";"EVE(A)";"LEI(H)";"TOT(A)";"STK(A)";"CHE(H)";"NEW(A)";"HUD(H)";"4";"4";"2";"4";"2";"5";"2";"5";"2";"1"
