"id";"Player";"Status";"PlayingChance";"SelectedBy"
"1";17;"Cazorla";"Injured";"0";0
"2";18;"Ramsey";"Doubtful";"75";4
"3";36;"Mings";"Injured";"0";0
"4";52;"Defoe";"Injured";"0";1
"5";65;"Sidwell";"Injured";"0";0
"6";67;"Skalak";"Injured";"0";0
"7";74;"Heaton";"Injured";"0";1
"8";79;"Tarkowski";"Injured";"0";2
"9";83;"Marney";"Injured";"0";0
"10";85;"Defour";"Injured";"0";0
"11";87;"Brady";"Injured";"0";0
"12";89;"Walters";"Injured";"0";0
"13";100;"Alonso";"Doubtful";"75";21
"14";108;"Loftus-Cheek";"Injured";"0";3
"15";112;"Chalobah";"Injured";"0";0
"16";116;"Speroni";"Injured";"0";4
"17";118;"Dann";"Injured";"0";0
"18";120;"Kelly";"Doubtful";"75";0
"19";123;"Schlupp";"Injured";"0";0
"20";125;"Puncheon";"Injured";"0";0
"21";126;"Zaha";"Injured";"0";3
"22";130;"Sako";"Injured";"0";0
"23";133;"Wickham";"Injured";"0";0
"24";137;"Stekelenburg";"Injured";"0";0
"25";138;"Baines";"Injured";"0";2
"26";139;"Coleman";"Doubtful";"75";0
"27";142;"Funes Mori";"Injured";"0";0
"28";149;"Barkley";"Doubtful";"75";0
"29";150;"McCarthy";"Injured";"0";0
"30";155;"Gueye";"Doubtful";"75";0
"31";165;"Löwe";"Injured";"0";1
"32";166;"Smith";"Injured";"0";0
"33";169;"Stankovic";"Injured";"0";0
"34";172;"Mooy";"Doubtful";"75";5
"35";181;"Kachunga";"Injured";"0";0
"36";187;"Depoitre";"Doubtful";"75";3
"37";191;"Morgan";"Injured";"0";1
"38";211;"Okazaki";"Injured";"0";3
"39";212;"Slimani";"Doubtful";"50";0
"40";217;"Clyne";"Injured";"0";0
"41";218;"Gomez";"Doubtful";"50";4
"42";220;"Klavan";"Doubtful";"75";1
"43";221;"Sakho";"Doubtful";"75";0
"44";236;"Sturridge";"Doubtful";"75";1
"45";246;"Delph";"Doubtful";"75";0
"46";248;"David Silva";"Doubtful";"75";6
"47";255;"Sané";"Doubtful";"75";6
"48";259;"Jesus";"Injured";"0";4
"49";270;"Blind";"Injured";"0";0
"50";271;"Bailly";"Injured";"0";5
"51";275;"Fellaini";"Injured";"0";0
"52";278;"Herrera";"Doubtful";"75";1
"53";284;"Rashford";"Doubtful";"75";5
"54";289;"Clark";"Doubtful";"75";2
"55";293;"Gámez";"Injured";"0";1
"56";326;"Austin";"Injured";"0";0
"57";334;"Bardsley";"Injured";"0";0
"58";347;"Crouch";"Doubtful";"75";2
"59";353;"Rangel";"Injured";"0";8
"60";361;"Britton";"Injured";"0";0
"61";365;"Fer";"Injured";"0";0
"62";397;"Gomes";"Injured";"0";1
"63";398;"Kaboul";"Injured";"0";0
"64";399;"Cathcart";"Injured";"0";0
"65";402;"Britos";"Injured";"0";0
"66";403;"Kabasele";"Injured";"0";1
"67";407;"Kiko Femenía";"Injured";"0";1
"68";408;"Cleverley";"Injured";"0";0
"69";416;"Hughes";"Injured";"0";0
"70";426;"Livermore";"Injured";"0";0
"71";427;"Chadli";"Injured";"0";0
"72";428;"Morrison";"Injured";"0";0
"73";436;"Robson-Kanu";"Injured";"0";0
"74";442;"Reid";"Doubtful";"75";0
"75";446;"Masuaku";"Suspended";"0";0
"76";452;"Obiang";"Injured";"0";1
"77";453;"Lanzini";"Injured";"0";1
"78";456;"Fernandes";"Injured";"0";0
"79";457;"Carroll";"Injured";"0";0
"80";481;"Brown";"Injured";"0";0
"81";484;"Mendy";"Injured";"0";0
"82";500;"Lemina";"Doubtful";"75";0
"83";502;"Mangala";"Doubtful";"75";0
"84";518;"Wood";"Injured";"0";0
"85";523;"Ibrahimovic";"Injured";"0";0
"86";535;"Sanches";"Injured";"0";0
"87";542;"Bony";"Injured";"0";0
