"id";"web_name";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
285;"Lukaku";117;8962;8959;3;6793;952;127
282;"Pogba";82;7760;7754;6;998;1273;24
487;"Chicharito";71;5935;5777;158;259;463;3
387;"Eriksen";96;4735;4719;16;512;857;17
161;"Rooney";76;4425;4087;338;191;443;3
260;"de Gea";55;3848;3692;156;17;1104;1
468;"Hegazi";48;3579;3383;196;8;13;1
230;"Mané";95;3275;3253;22;96;487;2
101;"David Luiz";60;3234;3093;141;5;62;NA
234;"Salah";90;3228;3170;58;88;557;2
388;"Alli";95;3151;3130;21;181;492;1
235;"Firmino";85;2987;2902;85;85;394;NA
100;"Alonso";70;2956;2885;71;10;36;NA
281;"Mkhitaryan";82;2887;2883;4;205;360;3
271;"Bailly";61;2868;2839;29;9;33;NA
421;"Foster";45;2547;1811;736;NA;241;NA
106;"Willian";71;2174;2073;101;3;48;NA
146;"Keane";55;2163;1535;628;NA;5;NA
286;"Elliot";40;2110;73;2037;NA;8;NA
353;"Rangel";40;1999;85;1914;NA;NA;NA
307;"Bertrand";55;1760;1558;202;NA;5;NA
381;"Davies";56;1726;1670;56;4;15;NA
310;"Cédric";50;1597;1271;326;NA;1;NA
111;"Kanté";50;1483;942;541;1;14;NA
479;"Hart";45;1403;265;1138;NA;41;NA
377;"Alderweireld";60;1386;1330;56;4;12;NA
23;"Xhaka";56;1323;958;365;NA;12;NA
135;"Pickford";50;1250;631;619;1;141;NA
108;"Loftus-Cheek";45;1235;99;1136;NA;NA;NA
375;"Lloris";55;1216;1039;177;2;279;NA
94;"Courtois";55;1159;868;291;2;209;NA
424;"Dawson";50;1151;1058;93;NA;2;NA
252;"De Bruyne";100;1136;1132;4;35;219;NA
172;"Mooy";56;1106;967;139;6;16;NA
34;"Daniels";50;987;306;681;NA;1;NA
138;"Baines";60;886;648;238;NA;4;NA
245;"Otamendi";55;882;823;59;1;5;NA
248;"David Silva";81;862;848;14;16;50;NA
512;"Jesé";60;852;711;141;2;7;NA
198;"Maguire";51;845;393;452;1;NA;NA
140;"Jagielka";50;816;462;354;1;2;NA
267;"Valencia";65;807;788;19;1;12;NA
327;"Gabbiadini";70;793;735;58;12;34;NA
77;"Mee";45;790;79;711;1;NA;NA
242;"Stones";55;789;731;58;2;5;NA
