"entry";"rank";"gw_points";"points_on_bench";"chip_played";"team_value";"in_bank";"transfers_done";"transfers_cost"
"2586062";"1";"0";"0";"";"1008";"0";"0";"0"
"2059790";"2";"0";"0";"";"1010";"4";"0";"0"
"883372";"3";"0";"0";"";"1011";"0";"0";"0"
"761937";"4";"0";"0";"";"1007";"5";"0";"0"
"2262082";"4";"0";"0";"";"1008";"0";"0";"0"
"966173";"6";"0";"0";"bboost";"1007";"7";"2";"0"
"2989181";"6";"0";"0";"";"1009";"0";"0";"0"
"2606249";"8";"0";"0";"";"1007";"0";"0";"0"
"2021230";"9";"0";"0";"";"1005";"0";"0";"0"
"2389278";"9";"0";"0";"";"1008";"5";"2";"0"
"1589079";"11";"0";"0";"";"1006";"15";"1";"0"
"3346453";"11";"0";"0";"";"1008";"4";"2";"4"
"877204";"13";"0";"0";"wildcard";"1009";"10";"0";"0"
"432009";"14";"0";"0";"wildcard";"1009";"2";"0";"0"
"2059536";"15";"0";"0";"";"1009";"15";"2";"0"
"2145603";"15";"0";"0";"";"1004";"0";"0";"0"
"173038";"17";"0";"0";"";"1007";"0";"0";"0"
"3824312";"17";"0";"0";"";"1008";"0";"0";"0"
"1410584";"19";"0";"0";"";"1011";"0";"0";"0"
"1835472";"19";"0";"0";"";"1004";"0";"1";"0"
"3751806";"19";"0";"0";"";"1007";"4";"1";"0"
"2886753";"22";"0";"0";"";"1005";"5";"0";"0"
"1184095";"23";"0";"0";"";"1009";"5";"1";"0"
"1905560";"23";"0";"0";"";"1006";"19";"1";"0"
"350886";"25";"0";"0";"";"1011";"25";"1";"0"
"1638203";"26";"0";"0";"";"1010";"5";"1";"0"
"2948692";"26";"0";"0";"";"1006";"0";"0";"0"
"3194189";"26";"0";"0";"";"1006";"3";"2";"0"
"3375947";"26";"0";"0";"";"1002";"0";"0";"0"
"2287096";"30";"0";"0";"";"1007";"0";"1";"0"
"3029056";"30";"0";"0";"";"1005";"2";"1";"0"
"3418959";"30";"0";"0";"";"1009";"0";"0";"0"
"1310615";"33";"0";"0";"3xc";"1010";"18";"1";"0"
"2784698";"33";"0";"0";"";"1010";"3";"2";"0"
"639921";"35";"0";"0";"";"1007";"5";"0";"0"
"1601216";"35";"0";"0";"";"1009";"5";"1";"0"
"1806952";"35";"0";"0";"wildcard";"1010";"1";"0";"0"
"1964203";"35";"0";"0";"";"1008";"15";"1";"0"
"2219879";"35";"0";"0";"";"1009";"0";"4";"12"
"1258402";"40";"0";"0";"";"1009";"0";"1";"0"
"157066";"41";"0";"0";"";"1006";"5";"0";"0"
"173814";"41";"0";"0";"freehit";"1008";"3";"0";"0"
"934046";"41";"0";"0";"";"1009";"0";"1";"0"
"1392737";"41";"0";"0";"freehit";"1008";"5";"0";"0"
"1472257";"41";"0";"0";"";"1010";"14";"2";"0"
"2157499";"41";"0";"0";"";"1004";"13";"2";"0"
"3581356";"41";"0";"0";"";"1006";"0";"0";"0"
"309334";"48";"0";"0";"";"1010";"0";"3";"8"
"1863110";"48";"0";"0";"";"1007";"0";"0";"0"
"2146030";"48";"0";"0";"";"1009";"0";"1";"0"
"2154298";"48";"0";"0";"";"1006";"8";"1";"0"
"2245400";"48";"0";"0";"";"1007";"4";"1";"0"
"2536818";"48";"0";"0";"bboost";"1009";"5";"1";"0"
"2724087";"48";"0";"0";"";"1009";"9";"1";"0"
"3406104";"48";"0";"0";"";"1008";"5";"1";"0"
"103669";"56";"0";"0";"3xc";"1006";"4";"2";"0"
"293149";"56";"0";"0";"";"1007";"3";"2";"0"
"1636685";"56";"0";"0";"";"1008";"15";"0";"0"
"3059901";"56";"0";"0";"";"1007";"5";"0";"0"
"399639";"60";"0";"0";"";"1011";"0";"1";"0"
"419832";"60";"0";"0";"";"1008";"5";"1";"0"
"1034026";"60";"0";"0";"";"1005";"18";"1";"0"
"1888850";"60";"0";"0";"";"1009";"0";"1";"0"
"3676359";"60";"0";"0";"";"1005";"4";"1";"0"
"3688516";"60";"0";"0";"";"1006";"0";"0";"0"
"3812507";"60";"0";"0";"";"1007";"0";"1";"0"
"1669918";"67";"0";"0";"wildcard";"1004";"0";"0";"0"
"3638717";"68";"0";"0";"";"1011";"9";"1";"0"
"153214";"69";"0";"0";"";"1007";"30";"2";"0"
"1506239";"69";"0";"0";"3xc";"1007";"15";"1";"0"
"1980491";"69";"0";"0";"";"1010";"10";"2";"0"
"2256333";"69";"0";"0";"";"1011";"10";"2";"0"
"206779";"73";"0";"0";"wildcard";"1004";"3";"0";"0"
"874343";"73";"0";"0";"";"1007";"0";"0";"0"
"999535";"73";"0";"0";"";"1009";"3";"1";"0"
"1563293";"73";"0";"0";"";"1009";"10";"1";"0"
"2440280";"73";"0";"0";"";"1012";"0";"1";"0"
"2489930";"73";"0";"0";"";"1007";"5";"1";"0"
"3173739";"73";"0";"0";"";"1005";"5";"0";"0"
"1276144";"80";"0";"0";"3xc";"1006";"25";"0";"0"
"1327565";"80";"0";"0";"";"1006";"0";"0";"0"
"1398492";"80";"0";"0";"";"1007";"3";"2";"0"
"1424018";"80";"0";"0";"";"1007";"0";"6";"20"
"1960656";"80";"0";"0";"";"1006";"0";"1";"0"
"2139765";"80";"0";"0";"bboost";"1006";"4";"1";"0"
"2143800";"80";"0";"0";"";"1008";"0";"0";"0"
"2435569";"80";"0";"0";"";"1008";"20";"2";"0"
"3567181";"80";"0";"0";"";"1007";"4";"1";"0"
"3634608";"80";"0";"0";"";"1007";"9";"2";"0"
"99224";"90";"0";"0";"";"1011";"20";"0";"0"
"354105";"90";"0";"0";"";"1011";"0";"1";"0"
"440296";"90";"0";"0";"";"1008";"20";"0";"0"
"749405";"90";"0";"0";"";"1011";"0";"1";"0"
"1777342";"90";"0";"0";"";"1010";"18";"1";"0"
"2615646";"90";"0";"0";"";"1007";"5";"0";"0"
"2906702";"90";"0";"0";"";"1012";"0";"2";"4"
"2933090";"90";"0";"0";"";"1006";"9";"1";"0"
"3247855";"90";"0";"0";"";"1009";"9";"1";"0"
"466250";"99";"0";"0";"";"1012";"0";"0";"0"
"967510";"99";"0";"0";"";"1006";"15";"0";"0"
"1477686";"99";"0";"0";"";"1008";"0";"2";"0"
"2059731";"99";"0";"0";"";"1006";"2";"2";"0"
"2061408";"99";"0";"0";"";"1005";"0";"0";"0"
"2207491";"99";"0";"0";"bboost";"1006";"0";"0";"0"
"49368";"105";"0";"0";"";"1007";"34";"1";"0"
"456839";"105";"0";"0";"";"1007";"34";"1";"0"
"869042";"105";"0";"0";"";"1004";"10";"1";"0"
"958544";"105";"0";"0";"";"1009";"0";"1";"0"
"1200985";"105";"0";"0";"";"1010";"0";"2";"4"
"2356872";"105";"0";"0";"";"1006";"9";"1";"0"
"2622067";"105";"0";"0";"";"1007";"1";"7";"24"
"3129308";"105";"0";"0";"";"1006";"39";"2";"4"
"3250080";"105";"0";"0";"";"1007";"0";"1";"0"
"3432614";"105";"0";"0";"";"1008";"4";"1";"0"
"3831698";"105";"0";"0";"";"1006";"5";"1";"0"
"289506";"116";"0";"0";"3xc";"1007";"0";"2";"0"
"618142";"116";"0";"0";"";"1006";"2";"2";"0"
"1368452";"116";"0";"0";"freehit";"1007";"0";"0";"0"
"1498997";"116";"0";"0";"";"1005";"0";"0";"0"
"1574030";"116";"0";"0";"";"1009";"18";"2";"0"
"1906087";"116";"0";"0";"";"1008";"5";"0";"0"
"2037660";"116";"0";"0";"wildcard";"1007";"0";"0";"0"
"2129688";"116";"0";"0";"";"1004";"0";"0";"0"
"2241825";"116";"0";"0";"";"1005";"9";"1";"0"
"2777017";"116";"0";"0";"";"1006";"0";"0";"0"
"3151708";"116";"0";"0";"";"1007";"14";"2";"0"
"3190829";"116";"0";"0";"";"1009";"5";"0";"0"
"3435509";"116";"0";"0";"";"1005";"5";"2";"0"
"3522053";"116";"0";"0";"bboost";"1008";"0";"2";"0"
"3604144";"116";"0";"0";"";"1006";"14";"2";"0"
"3681603";"116";"0";"0";"freehit";"1008";"8";"0";"0"
"3829817";"116";"0";"0";"";"1006";"5";"0";"0"
"26314";"133";"0";"0";"";"1010";"40";"2";"4"
"214437";"133";"0";"0";"";"1004";"2";"1";"0"
"498680";"133";"0";"0";"";"1011";"0";"0";"0"
"520325";"133";"0";"0";"";"1008";"0";"2";"4"
"675051";"133";"0";"0";"";"1006";"0";"0";"0"
"696960";"133";"0";"0";"bboost";"1008";"4";"2";"4"
"820377";"133";"0";"0";"";"1010";"0";"1";"0"
"853480";"133";"0";"0";"";"1008";"0";"1";"0"
"1017891";"133";"0";"0";"";"1005";"4";"1";"0"
"1308413";"133";"0";"0";"";"1010";"5";"1";"0"
"1471216";"133";"0";"0";"";"1009";"4";"3";"8"
"1494229";"133";"0";"0";"";"1010";"10";"1";"0"
"1859315";"133";"0";"0";"";"1007";"5";"0";"0"
"1861741";"133";"0";"0";"";"1009";"0";"0";"0"
"1892804";"133";"0";"0";"";"1007";"0";"0";"0"
"2213348";"133";"0";"0";"";"1005";"15";"1";"0"
"2338878";"133";"0";"0";"";"1010";"0";"1";"0"
"2370506";"133";"0";"0";"";"1005";"5";"1";"0"
"2934330";"133";"0";"0";"";"1007";"4";"4";"12"
