"entry";"rank";"gw_points";"points_on_bench";"chip_played";"team_value";"in_bank";"transfers_done";"transfers_cost"
"1905560";"1";"78";"16";"";"1006";"19";"1";"0"
"2021230";"2";"70";"12";"";"1005";"0";"0";"0"
"2620643";"3";"91";"10";"freehit";"1003";"3";"0";"0"
"1186231";"4";"107";"0";"bboost";"1008";"4";"1";"0"
"2685758";"5";"78";"10";"";"1004";"0";"0";"0"
"966173";"6";"59";"0";"bboost";"1007";"7";"2";"0"
"2145603";"7";"62";"14";"";"1004";"0";"0";"0"
"1143273";"8";"79";"6";"";"1005";"0";"0";"0"
"539106";"9";"81";"17";"";"1006";"4";"1";"0"
"421965";"10";"82";"0";"bboost";"1006";"4";"2";"0"
"2160210";"11";"79";"0";"bboost";"1006";"3";"2";"4"
"1557051";"12";"93";"7";"";"1004";"0";"0";"0"
"163596";"13";"69";"4";"";"1006";"0";"0";"0"
"2262082";"13";"53";"12";"";"1008";"0";"0";"0"
"3105196";"15";"77";"8";"";"1004";"0";"2";"0"
"761937";"16";"52";"2";"";"1007";"5";"0";"0"
"2050652";"17";"80";"11";"3xc";"1004";"0";"1";"0"
"3168369";"18";"93";"10";"";"1003";"0";"0";"0"
"3653581";"19";"82";"6";"";"1005";"0";"0";"0"
"3824312";"19";"56";"11";"";"1008";"0";"0";"0"
"1330432";"21";"73";"10";"";"1002";"0";"1";"0"
"3194189";"21";"59";"8";"";"1006";"3";"2";"0"
"3676359";"21";"62";"19";"";"1005";"4";"1";"0"
"2500453";"24";"91";"8";"";"1006";"0";"0";"0"
"2615646";"25";"63";"2";"";"1007";"5";"0";"0"
"1589079";"26";"53";"11";"";"1006";"15";"1";"0"
"2249436";"26";"89";"2";"";"1001";"0";"1";"0"
"2508661";"26";"86";"0";"bboost";"1008";"1";"1";"0"
"350886";"29";"57";"12";"";"1011";"25";"1";"0"
"744854";"30";"76";"16";"";"1004";"5";"0";"0"
"2139765";"30";"62";"0";"bboost";"1006";"4";"1";"0"
"2684901";"30";"68";"13";"3xc";"1007";"5";"0";"0"
"51377";"33";"88";"0";"bboost";"1007";"9";"1";"0"
"1398492";"33";"62";"4";"";"1007";"3";"2";"0"
"2214822";"33";"77";"7";"";"1004";"0";"1";"0"
"935952";"36";"73";"19";"";"1003";"0";"0";"0"
"1871583";"36";"83";"14";"wildcard";"1007";"4";"0";"0"
"2141704";"36";"83";"4";"";"1005";"0";"0";"0"
"3128371";"39";"90";"1";"";"1001";"0";"0";"0"
"2448501";"40";"80";"-1";"";"1002";"5";"2";"0"
"2524821";"40";"70";"11";"3xc";"1004";"0";"1";"0"
"564153";"42";"84";"4";"";"1001";"3";"1";"0"
"2059698";"42";"72";"5";"";"1007";"1";"1";"0"
"354021";"44";"92";"12";"3xc";"1005";"19";"1";"0"
"929092";"44";"80";"10";"";"1004";"5";"1";"0"
"2886753";"46";"53";"5";"";"1005";"5";"0";"0"
"92365";"47";"72";"6";"";"1006";"0";"0";"0"
"1090194";"47";"72";"0";"";"1007";"0";"0";"0"
"1957524";"47";"65";"0";"";"1006";"10";"1";"0"
"3214395";"47";"77";"22";"";"1004";"24";"1";"0"
"3131795";"51";"85";"8";"3xc";"1004";"3";"1";"0"
"2606249";"52";"46";"12";"";"1007";"0";"0";"0"
"3791028";"52";"76";"5";"";"1002";"0";"0";"0"
"370742";"54";"63";"2";"";"1009";"9";"1";"0"
"700255";"54";"79";"8";"";"1001";"23";"2";"0"
"734055";"54";"73";"0";"bboost";"1010";"15";"1";"0"
"2540100";"54";"63";"12";"";"1006";"34";"1";"0"
"3674940";"54";"62";"12";"";"1009";"1";"1";"0"
"1424804";"59";"86";"0";"bboost";"1007";"5";"0";"0"
"1762350";"60";"86";"0";"bboost";"1006";"0";"1";"0"
"3145102";"60";"71";"5";"";"1009";"0";"0";"0"
"259793";"62";"88";"8";"";"1004";"0";"1";"0"
"420395";"62";"93";"0";"bboost";"1006";"0";"1";"0"
"794479";"62";"67";"10";"";"1007";"9";"1";"0"
"2245400";"62";"54";"18";"";"1007";"4";"1";"0"
"2389278";"62";"47";"6";"";"1008";"5";"2";"0"
"2752661";"62";"81";"3";"";"1006";"5";"1";"0"
"3094779";"62";"89";"0";"bboost";"1001";"9";"1";"0"
"3507113";"62";"67";"5";"";"1007";"0";"0";"0"
"1796791";"70";"67";"8";"";"1006";"2";"1";"0"
