"id";"web_name";"selected_by_percent";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
234;"Salah";"44.8";96;41559;41557;2;14094;10254;168
260;"de Gea";"41.9";58;26444;26158;286;166;2834;3
286;"Elliot";"26.6";42;25353;2294;23059;NA;47;NA
285;"Lukaku";"48.0";115;23998;23998;NA;12988;4950;153
255;"Sané";"29.6";90;21232;21224;8;1873;3973;16
394;"Kane";"38.1";128;19941;19888;53;5560;5297;11
472;"Morata";"25.0";105;18885;18879;6;4579;4603;40
97;"Azpilicueta";"20.4";68;17426;17401;25;123;275;1
70;"Groß";"19.6";59;17407;16999;408;37;177;NA
501;"Richarlison";"19.6";65;16880;16775;105;185;657;1
78;"Ward";"21.9";50;15312;14888;424;9;48;NA
374;"Abraham";"14.1";59;14828;12425;2403;17;322;NA
248;"David Silva";"21.0";84;14649;14616;33;111;1053;1
77;"Mee";"12.3";47;13898;13404;494;7;39;NA
257;"Agüero";"18.9";117;13260;2742;10518;5460;3049;24
264;"Jones";"10.0";54;11602;1227;10375;4;17;NA
252;"De Bruyne";"21.4";101;10961;10960;1;1183;2441;11
259;"Jesus";"15.7";105;9758;9738;20;1012;2022;9
34;"Daniels";"11.8";49;9722;9290;432;8;43;1
381;"Davies";"18.6";57;9494;8122;1372;2;38;NA
379;"Walker";"15.5";67;8952;8905;47;7;60;NA
387;"Eriksen";"21.4";95;8936;8886;50;121;925;2
247;"Sterling";"10.3";81;8421;8053;368;50;312;1
245;"Otamendi";"16.6";58;8207;372;7835;2;10;NA
414;"Doucouré";"16.8";54;8120;7366;754;6;44;NA
267;"Valencia";"15.7";67;8019;7990;29;56;143;NA
235;"Firmino";"17.9";85;7962;7938;24;331;1227;NA
367;"Carroll";"5.8";45;7419;203;7216;NA;2;NA
494;"Mbemba";"11.9";40;7234;132;7102;NA;1;NA
13;"Kolasinac";"12.4";61;6785;6091;694;2;23;NA
10;"Monreal";"11.3";56;6643;5386;1257;NA;13;NA
242;"Stones";"6.4";56;6590;6302;288;NA;17;NA
497;"Choupo-Moting";"6.4";57;6558;5974;584;9;30;NA
353;"Rangel";"11.3";39;6519;49;6470;NA;NA;NA
108;"Loftus-Cheek";"5.7";45;6485;3326;3159;NA;9;NA
382;"Trippier";"8.9";57;6293;5355;938;5;27;NA
209;"Vardy";"14.0";85;6261;5903;358;75;466;NA
100;"Alonso";"14.4";69;5713;5695;18;38;74;NA
104;"Hazard";"5.9";106;5655;5648;7;1011;1078;9
216;"Moreno";"4.5";46;5607;5446;161;1;7;NA
421;"Foster";"11.4";44;5434;1436;3998;NA;34;NA
41;"Surman";"8.2";47;5151;3923;1228;NA;31;NA
94;"Courtois";"12.7";54;4770;4423;347;1;338;1
468;"Hegazi";"18.6";45;4672;2513;2159;1;4;NA
350;"Fabianski";"7.9";46;4640;2981;1659;1;32;NA
290;"Lascelles";"8.6";47;4437;158;4279;NA;1;NA
380;"Vertonghen";"9.6";61;4355;4015;340;6;25;NA
310;"Cédric";"7.1";49;4340;2749;1591;NA;2;NA
479;"Hart";"8.4";44;3957;1116;2841;NA;33;NA
469;"Pope";"3.4";46;3924;3590;334;4;48;NA
107;"Matic";"13.4";50;3886;3369;517;2;16;NA
57;"Hünemeier";"7.2";39;3717;38;3679;NA;NA;NA
352;"Naughton";"5.3";46;3663;2700;963;NA;NA;NA
388;"Alli";"16.2";92;3611;3415;196;48;214;NA
218;"Gomez";"4.5";46;3486;790;2696;1;8;NA
306;"Forster";"8.7";51;3437;1886;1551;NA;87;NA
18;"Ramsey";"6.1";70;3329;3184;145;7;43;NA
250;"Fernandinho";"8.3";52;3324;3057;267;1;28;NA
126;"Zaha";"5.6";69;3242;3199;43;53;120;NA
198;"Maguire";"7.9";52;3165;1906;1259;NA;4;NA
284;"Rashford";"9.4";77;3151;3094;57;75;250;NA
76;"Lowton";"4.1";46;3002;2828;174;1;8;NA
548;"Niasse";"5.1";50;2990;2404;586;12;52;NA
308;"Yoshida";"4.4";50;2919;504;2415;NA;1;NA
373;"Ayew";"4.0";51;2815;1657;1158;1;11;NA
407;"Kiko Femenía";"4.8";45;2800;2401;399;NA;5;NA
348;"Diouf";"5.0";55;2738;2097;641;2;30;NA
271;"Bailly";"9.5";61;2727;555;2172;13;25;NA
281;"Mkhitaryan";"10.9";79;2706;439;2267;24;155;NA
342;"Shaqiri";"5.7";60;2681;2569;112;15;42;NA
193;"Simpson";"3.8";45;2653;1266;1387;NA;1;NA
405;"Mariappa";"4.6";40;2621;1426;1195;NA;1;NA
307;"Bertrand";"8.6";54;2560;1841;719;NA;NA;NA
7;"Bellerín";"9.5";59;2549;2252;297;NA;4;NA
116;"Speroni";"3.9";40;2434;572;1862;NA;5;NA
263;"Smalling";"3.7";54;2424;2410;14;11;11;NA
316;"Davis";"4.6";51;2319;1470;849;NA;7;NA
56;"Duffy";"2.7";46;2298;1970;328;NA;2;NA
300;"Atsu";"2.3";50;2275;75;2200;NA;2;NA
487;"Chicharito";"9.0";68;2270;365;1905;4;36;NA
111;"Kanté";"12.0";49;2216;1807;409;1;20;NA
55;"Dunk";"2.2";44;2196;1774;422;NA;NA;NA
23;"Xhaka";"9.9";54;2191;1649;542;2;7;NA
186;"Quaner";"3.8";45;2184;642;1542;NA;NA;NA
28;"Lacazette";"10.4";103;2074;2053;21;107;329;NA
29;"Begovic";"4.3";45;1982;1119;863;NA;23;NA
161;"Rooney";"8.7";73;1961;428;1533;18;101;NA
420;"Myhill";"3.5";40;1953;NA;1953;NA;NA;NA
295;"Ritchie";"3.5";58;1930;1160;770;NA;3;NA
320;"Oriol Romeu";"2.7";44;1926;834;1092;NA;2;NA
101;"David Luiz";"11.6";58;1923;364;1559;NA;13;NA
226;"Coutinho";"5.1";88;1878;1855;23;199;224;1
463;"Bakayoko";"3.7";51;1864;1606;258;NA;11;NA
163;"Lössl";"9.7";46;1862;981;881;NA;20;NA
71;"Murray";"3.0";58;1834;1749;85;24;72;NA
159;"Calvert-Lewin";"2.4";50;1820;1219;601;NA;12;NA
90;"Cork";"3.7";46;1757;1143;614;1;3;NA
172;"Mooy";"7.2";55;1756;1371;385;NA;6;NA
282;"Pogba";"16.3";80;1691;1636;55;101;116;NA
31;"Federici";"2.8";40;1605;NA;1605;1;NA;NA
171;"Zanka";"7.2";46;1559;1236;323;NA;2;NA
165;"Löwe";"3.6";45;1472;207;1265;NA;NA;NA
127;"McArthur";"2.5";44;1419;721;698;NA;NA;NA
375;"Lloris";"9.5";55;1413;655;758;1;46;NA
211;"Okazaki";"4.6";56;1399;861;538;NA;14;NA
293;"Gámez";"3.0";40;1378;14;1364;NA;NA;NA
199;"Mahrez";"4.7";84;1317;1234;83;4;48;NA
105;"Fàbregas";"4.9";69;1316;1294;22;9;25;NA
60;"Rosenior";"3.1";39;1285;22;1263;NA;NA;NA
377;"Alderweireld";"7.0";59;1236;93;1143;2;6;NA
38;"Aké";"4.0";49;1230;1100;130;1;6;NA
201;"King";"3.2";43;1227;24;1203;NA;NA;NA
72;"Hemed";"1.4";49;1173;68;1105;NA;3;NA
354;"Fernández";"3.1";45;1168;829;339;NA;NA;NA
227;"Can";"5.0";49;1145;866;279;NA;4;NA
32;"Francis";"1.2";44;1098;880;218;NA;3;NA
240;"Ederson";"5.0";55;1070;946;124;1;58;NA
191;"Morgan";"2.7";45;1020;585;435;NA;NA;NA
63;"Stephens";"1.6";45;1016;519;497;NA;4;NA
80;"Long";"2.5";39;966;22;944;NA;NA;NA
262;"Joel Pereira";"2.9";39;961;NA;961;NA;NA;NA
135;"Pickford";"6.1";49;945;450;495;NA;20;NA
219;"Matip";"2.7";55;873;179;694;NA;7;NA
192;"Fuchs";"2.7";49;829;474;355;NA;1;NA
397;"Gomes";"2.2";45;829;350;479;NA;6;NA
162;"Coleman";"1.5";40;817;NA;817;NA;NA;NA
384;"Dier";"2.9";49;804;560;244;NA;3;NA
37;"Brad Smith";"2.8";39;789;1;788;NA;NA;NA
372;"McBurnie";"1.3";45;782;3;779;NA;NA;NA
505;"Ladapo";"1.7";45;766;3;763;NA;NA;NA
327;"Gabbiadini";"2.6";66;759;575;184;NA;12;NA
87;"Brady";"1.6";55;758;643;115;NA;2;NA
488;"Joselu";"0.9";55;746;324;422;NA;1;NA
151;"Barry";"1.4";45;741;380;361;NA;NA;NA
477;"Manquillo";"1.4";44;726;286;440;NA;NA;NA
138;"Baines";"5.2";58;725;694;31;1;5;NA
347;"Crouch";"2.0";48;698;295;403;1;1;NA
22;"Elneny";"2.5";43;682;15;667;NA;NA;NA
79;"Tarkowski";"1.2";45;682;655;27;1;3;NA
164;"Schindler";"3.1";46;681;9;672;NA;NA;NA
452;"Obiang";"1.3";45;671;301;370;NA;NA;NA
30;"Boruc";"1.7";43;668;NA;668;NA;3;NA
189;"Schmeichel";"4.2";50;661;219;442;2;25;NA
230;"Mané";"7.4";93;653;638;15;39;75;NA
239;"Solanke";"1.6";47;625;11;614;NA;NA;NA
351;"Nordfeldt";"1.1";40;606;NA;606;NA;1;NA
289;"Clark";"2.2";45;603;226;377;NA;NA;NA
311;"van Dijk";"2.1";54;575;409;166;NA;NA;NA
53;"Mäenpää";"1.1";40;571;NA;571;NA;NA;NA
443;"Cresswell";"0.9";50;555;377;178;NA;NA;NA
357;"Mawson";"1.3";50;538;425;113;NA;1;NA
299;"Colback";"1.5";43;531;2;529;NA;NA;NA
390;"Son";"1.7";79;524;501;23;5;26;NA
54;"Ryan";"0.9";45;518;316;202;NA;4;NA
112;"Chalobah";"1.1";44;516;3;513;NA;1;NA
203;"Gray";"1.1";53;510;334;176;NA;3;NA
