"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10"
"2575352";"1";"64";"1";"";"1031";"5";"1";"0";"Sterling"
"3614956";"2";"58";"6";"";"1043";"1";"0";"0";"Hazard"
"8242";"3";"64";"7";"";"1053";"34";"2";"0";"Hazard"
"197850";"4";"49";"3";"";"1047";"5";"2";"0";"Sterling"
"60026";"5";"71";"2";"";"1047";"17";"2";"0";"Salah"
"1198623";"6";"34";"3";"";"1048";"1";"2";"4";"Sterling"
"616809";"7";"40";"7";"";"1055";"5";"1";"0";"Sterling"
"8450";"8";"69";"10";"";"1053";"1";"0";"0";"Kane"
"64137";"9";"55";"2";"";"1048";"7";"2";"0";"Hazard"
"21823";"10";"68";"5";"";"1067";"0";"0";"0";"Sterling"
"53944";"11";"53";"14";"";"1053";"8";"1";"0";"Sané"
"1577223";"12";"77";"8";"";"1054";"3";"1";"0";"Aubameyang"
"226251";"13";"47";"6";"";"1059";"14";"2";"0";"Sterling"
"110179";"14";"43";"4";"";"1058";"17";"1";"0";"Hazard"
"219346";"15";"51";"3";"";"1048";"4";"1";"0";"Sterling"
"3718312";"15";"64";"10";"";"1023";"13";"2";"0";"Sterling"
"612537";"17";"81";"3";"";"1048";"1";"1";"0";"Aubameyang"
"2557010";"18";"75";"3";"";"1051";"12";"2";"4";"Aubameyang"
"31625";"19";"52";"3";"";"1049";"0";"2";"0";"Sané"
"916319";"20";"97";"13";"3xc";"1025";"1";"2";"0";"Salah"
"146156";"21";"57";"8";"";"1039";"0";"3";"4";"Hazard"
"100121";"22";"51";"7";"";"1057";"2";"1";"0";"Hazard"
"323478";"23";"67";"2";"";"1058";"12";"0";"0";"Sterling"
"156054";"24";"86";"0";"";"1034";"1";"0";"0";"Aubameyang"
"875378";"25";"54";"4";"";"1046";"1";"1";"0";"Hazard"
"304393";"26";"64";"4";"";"1064";"0";"2";"0";"Sané"
"3184997";"27";"68";"5";"";"1057";"10";"0";"0";"Salah"
"981588";"28";"53";"9";"";"1030";"4";"1";"0";"Hazard"
"2500855";"29";"47";"2";"";"1050";"0";"0";"0";"Hazard"
"10248";"30";"81";"11";"";"1052";"3";"0";"0";"Sterling"
"2166271";"31";"62";"4";"";"1055";"0";"0";"0";"Sterling"
"8349";"32";"65";"4";"";"1056";"6";"0";"0";"Sané"
"2393059";"33";"51";"16";"";"1043";"5";"0";"0";"Sterling"
"589232";"34";"65";"4";"";"1051";"6";"1";"0";"Hazard"
"3236420";"35";"85";"0";"";"1035";"16";"0";"0";"Kane"
"819015";"36";"81";"2";"";"1040";"16";"1";"0";"Sterling"
"1561884";"37";"49";"4";"";"1062";"13";"1";"0";"Sterling"
"2558769";"38";"49";"4";"";"1043";"13";"0";"0";"Sané"
"22689";"39";"83";"4";"";"1043";"8";"1";"0";"Salah"
"530727";"40";"85";"1";"";"1051";"1";"0";"0";"Salah"
"933770";"41";"47";"4";"";"1034";"8";"1";"0";"Sterling"
"66419";"42";"59";"1";"";"1045";"0";"0";"0";"Sterling"
"1359421";"43";"77";"9";"";"1039";"5";"1";"0";"Salah"
"575567";"44";"71";"7";"";"1050";"4";"1";"0";"Salah"
"43605";"45";"65";"3";"";"1056";"5";"1";"0";"Salah"
"377836";"45";"55";"8";"";"1072";"23";"0";"0";"Sané"
"615360";"45";"58";"5";"";"1052";"0";"1";"0";"Sterling"
"465365";"48";"38";"2";"";"1043";"0";"2";"0";"Sterling"
"1334364";"49";"92";"20";"";"1037";"0";"0";"0";"Kane"
"1889818";"49";"47";"3";"";"1056";"10";"1";"0";"Sterling"
"307462";"51";"61";"2";"";"1058";"2";"0";"0";"Sterling"
"145649";"52";"37";"2";"";"1055";"1";"3";"4";"Sterling"
"2862023";"52";"41";"6";"";"1050";"14";"1";"0";"Sterling"
"2954183";"54";"97";"3";"";"1053";"3";"0";"0";"Salah"
"1167015";"55";"60";"4";"";"1050";"6";"1";"0";"Hazard"
"138561";"56";"54";"9";"";"1060";"1";"0";"0";"Sterling"
"45996";"57";"87";"0";"";"1055";"6";"0";"0";"Salah"
"3393152";"58";"73";"8";"";"1046";"1";"2";"0";"Aubameyang"
"1641600";"59";"67";"11";"";"1041";"14";"1";"0";"Aubameyang"
"4130665";"60";"66";"4";"";"1040";"21";"1";"0";"Sané"
"9392";"61";"63";"2";"";"1066";"2";"2";"0";"Salah"
"20727";"61";"75";"6";"";"1061";"0";"1";"0";"Aubameyang"
"1983043";"61";"70";"2";"";"1050";"6";"1";"0";"Kane"
"77577";"64";"69";"4";"";"1037";"3";"0";"0";"Sterling"
"2477540";"64";"68";"6";"";"1061";"1";"0";"0";"Sterling"
"33174";"66";"40";"5";"";"1053";"0";"3";"4";"Sané"
"72514";"67";"71";"2";"";"1052";"3";"3";"8";"Salah"
"1030017";"68";"55";"3";"";"1062";"9";"0";"0";"Hazard"
"111850";"69";"81";"1";"";"1048";"4";"0";"0";"Aubameyang"
"286618";"69";"36";"2";"";"1042";"3";"0";"0";"Sterling"
"724734";"71";"71";"18";"";"1045";"11";"1";"0";"Aubameyang"
"91912";"72";"63";"0";"";"1054";"1";"0";"0";"Sterling"
"2464871";"73";"61";"7";"";"1050";"0";"1";"0";"Sterling"
"1417";"74";"54";"11";"";"1064";"2";"0";"0";"Hazard"
"252314";"74";"49";"5";"";"1040";"19";"0";"0";"Hazard"
"902198";"74";"64";"5";"";"1035";"0";"0";"0";"Sterling"
"213286";"77";"74";"4";"";"1025";"4";"1";"0";"Salah"
"66259";"78";"62";"2";"";"1045";"2";"0";"0";"Aubameyang"
"2063181";"78";"57";"2";"";"1042";"5";"1";"0";"Hazard"
"166523";"80";"66";"1";"";"1040";"5";"1";"0";"Kane"
"2871148";"80";"70";"6";"";"1043";"10";"0";"0";"Salah"
"107827";"82";"69";"8";"";"1052";"0";"0";"0";"Aubameyang"
"711997";"83";"69";"3";"";"1045";"6";"0";"0";"Sterling"
"2199241";"84";"75";"7";"";"1047";"18";"1";"0";"Kane"
"1039137";"85";"69";"5";"";"1046";"17";"0";"0";"Kane"
"36019";"86";"56";"10";"";"1062";"0";"0";"0";"Sterling"
"991152";"86";"54";"3";"";"1057";"2";"0";"0";"Sterling"
"3058891";"86";"52";"1";"";"1041";"32";"1";"0";"Hazard"
"246972";"89";"88";"3";"";"1052";"1";"0";"0";"Hazard"
"714486";"90";"62";"6";"";"1046";"4";"1";"0";"Sané"
"3516652";"91";"59";"4";"";"1045";"8";"3";"4";"Sané"
"1179393";"92";"76";"7";"";"1049";"3";"0";"0";"Aubameyang"
"74558";"93";"72";"1";"";"1042";"4";"0";"0";"Sterling"
"1016821";"94";"55";"4";"";"1055";"5";"1";"0";"Sané"
"1508738";"94";"53";"11";"";"1035";"9";"1";"0";"Hazard"
"17281";"96";"41";"11";"";"1057";"0";"2";"0";"Sterling"
"473996";"97";"71";"10";"";"1056";"6";"0";"0";"Alonso"
"276533";"98";"64";"6";"";"1060";"6";"0";"0";"Sterling"
"400181";"99";"73";"10";"";"1055";"7";"0";"0";"Aubameyang"
"665537";"100";"76";"5";"";"1043";"0";"0";"0";"Kane"
