"entry";"rank";"gw_points";"points_on_bench";"chip_played";"team_value";"in_bank";"transfers_done";"transfers_cost";"captain"
"637827";"16";"90";"0";"freehit";"1016";"5";"0";"0";"Kane"
"247842";"1";"93";"3";"wildcard";"1013";"3";"0";"0";"Kane"
"753940";"4";"77";"0";"freehit";"1022";"0";"0";"0";"Lukaku"
"2241";"35";"76";"5";"";"1013";"27";"1";"0";"Kane"
"916403";"26";"93";"6";"freehit";"1009";"0";"0";"0";"Kane"
"986623";"14";"102";"0";"wildcard";"1012";"0";"0";"0";"Kane"
"1398949";"47";"72";"0";"";"1007";"0";"2";"0";"Lukaku"
"2118340";"2";"89";"5";"freehit";"1010";"2";"0";"0";"Kane"
"564699";"20";"80";"8";"";"1017";"2";"2";"4";"Lukaku"
"3537514";"12";"52";"4";"";"1012";"3";"1";"0";"Lukaku"
"1275053";"67";"92";"2";"freehit";"1012";"26";"0";"0";"Lukaku"
"512847";"52";"88";"2";"";"1013";"0";"1";"0";"Lukaku"
"1011072";"47";"87";"4";"freehit";"1015";"0";"0";"0";"Lukaku"
"2180033";"179";"76";"3";"";"1009";"7";"1";"0";"Lukaku"
"36299";"50";"85";"4";"";"1018";"5";"2";"4";"Kane"
"7876";"53";"80";"19";"";"1013";"0";"2";"0";"Lukaku"
"1731958";"13";"81";"2";"";"1006";"3";"2";"4";"Kane"
"1523161";"95";"68";"3";"";"1010";"12";"3";"4";"Lukaku"
"486646";"511";"71";"5";"";"1019";"31";"2";"4";"Coutinho"
"2095074";"905";"61";"9";"freehit";"1003";"0";"0";"0";"Jesus"
"3564609";"26";"75";"4";"";"1018";"2";"2";"0";"Kane"
"715492";"110";"61";"4";"";"1022";"2";"1";"0";"Lukaku"
"2833754";"718";"73";"7";"";"1009";"4";"0";"0";"Lukaku"
"249535";"10";"106";"11";"wildcard";"1011";"2";"0";"0";"Kane"
"1978894";"62";"82";"2";"freehit";"1008";"2";"0";"0";"Lukaku"
"1419564";"8";"68";"0";"";"1008";"4";"2";"0";"Kane"
"2714914";"9";"82";"2";"";"1015";"12";"1";"0";"Kane"
"1110679";"61";"79";"1";"freehit";"1011";"0";"0";"0";"Kane"
"1256184";"100";"90";"11";"";"1010";"6";"1";"0";"Lukaku"
"2176143";"18";"75";"0";"";"1015";"1";"1";"0";"Kane"
"3267691";"33";"65";"8";"";"1012";"18";"1";"0";"Kane"
"905181";"790";"70";"4";"";"1014";"14";"1";"0";"Lukaku"
"757148";"201";"94";"3";"freehit";"1009";"0";"0";"0";"Kane"
"980906";"290";"58";"9";"";"1017";"13";"1";"0";"Lukaku"
"3157915";"100";"72";"2";"freehit";"1010";"2";"0";"0";"Lukaku"
"248736";"2890";"58";"2";"freehit";"1011";"4";"0";"0";"Lukaku"
"406317";"558";"48";"4";"";"1017";"3";"0";"0";"Lukaku"
"1663395";"85";"94";"4";"freehit";"1013";"0";"0";"0";"Kane"
"2251606";"311";"46";"7";"";"1015";"30";"1";"0";"Lukaku"
"2467560";"29";"84";"3";"wildcard";"1014";"6";"0";"0";"Lukaku"
"785176";"335";"60";"0";"";"1009";"3";"2";"4";"Kane"
"3509053";"695";"70";"6";"";"1008";"4";"2";"4";"Lukaku"
"1983693";"30";"86";"8";"freehit";"1015";"1";"0";"0";"Kane"
"961445";"245";"47";"5";"";"1016";"23";"1";"0";"Lukaku"
"1076517";"15";"89";"5";"freehit";"1018";"10";"0";"0";"Lukaku"
"1483978";"17";"77";"7";"";"1022";"2";"1";"0";"Kane"
"921768";"77";"79";"11";"";"1014";"3";"1";"0";"Kane"
"2577583";"45";"57";"0";"3xc";"1012";"1";"2";"0";"Lukaku"
"855334";"7";"87";"6";"freehit";"1020";"3";"0";"0";"Kane"
"3729252";"556";"49";"4";"";"1010";"2";"0";"0";"Lacazette"
"2219611";"22";"74";"7";"";"1013";"12";"1";"0";"Jones"
"1038326";"85";"81";"10";"";"1021";"4";"1";"0";"Lukaku"
"1548661";"110";"79";"2";"freehit";"1012";"0";"0";"0";"Lukaku"
"3860932";"39";"76";"3";"";"1011";"1";"1";"0";"Kane"
"2769232";"495";"59";"0";"";"1005";"0";"0";"0";"Agüero"
"3683156";"265";"53";"2";"";"1006";"12";"1";"0";"Jesus"
"29955";"131";"75";"12";"";"1017";"12";"1";"0";"Kane"
"838281";"318";"72";"11";"";"1014";"11";"1";"0";"Kane"
"1640679";"240";"79";"2";"";"1007";"1";"2";"0";"Lukaku"
"3070142";"326";"63";"6";"";"1007";"2";"1";"0";"Agüero"
"3288734";"53";"70";"2";"wildcard";"1010";"1";"0";"0";"Lukaku"
"203352";"23";"61";"10";"";"1020";"4";"1";"0";"Lukaku"
"1964498";"170";"83";"1";"3xc";"1014";"15";"2";"0";"Lukaku"
"2609557";"31";"60";"7";"";"1013";"6";"2";"0";"Lukaku"
"55624";"108";"52";"3";"";"1012";"0";"1";"0";"Coutinho"
"1447547";"245";"46";"6";"wildcard";"1010";"3";"0";"0";"Alli"
"2192147";"4";"72";"7";"3xc";"1017";"7";"2";"4";"Lukaku"
"196118";"359";"96";"8";"freehit";"1020";"0";"0";"0";"Kane"
